transaction_id,card_id,company_id,transaction_date,amount,currency,merchant_name,category,transaction_type,status
TXN000032,CD0002,CO001,2024-01-20,677.59,AED,Zomato,Meals & Entertainment,purchase,success
TXN000033,CD0002,CO001,2024-02-20,130.16,AED,Sharaf DG,Hardware,purchase,success
TXN000034,CD0002,CO001,2024-03-03,1669.66,AED,IKEA,Office Supplies,cash_withdrawal,success
TXN000035,CD0002,CO001,2024-04-20,259.3,AED,Microsoft 365,SaaS Subscription,purchase,success
TXN000036,CD0002,CO001,2024-06-06,1298.28,AED,DEWA,Utilities,refund,success
TXN000037,CD0002,CO001,2024-06-20,416.12,AED,Rotana Hotels,Travel,purchase,failed
TXN000038,CD0003,CO001,2023-07-03,394.12,AED,DEWA,Utilities,purchase,success
TXN000039,CD0003,CO001,2023-07-09,37.54,AED,Virgin Megastore,Office Supplies,purchase,success
TXN000040,CD0003,CO001,2023-07-09,187.11,AED,Notion,SaaS Subscription,purchase,failed
TXN000041,CD0003,CO001,2023-07-14,23.25,AED,Zoom,SaaS Subscription,purchase,success
TXN000042,CD0003,CO001,2023-08-23,631.09,AED,Nobu,Meals & Entertainment,purchase,success
TXN000043,CD0003,CO001,2023-09-04,1588.13,AED,Careem,Travel,purchase,failed
TXN000044,CD0003,CO001,2023-09-07,1710.12,AED,Zomato,Meals & Entertainment,refund,success
TXN000045,CD0003,CO001,2023-09-19,136.77,AED,Etihad Airways,Travel,purchase,success
TXN000046,CD0003,CO001,2023-10-10,204.78,AED,Nobu,Meals & Entertainment,purchase,success
TXN000047,CD0003,CO001,2023-10-10,106.44,AED,Slack,SaaS Subscription,purchase,failed
TXN000048,CD0003,CO001,2023-10-26,1996.4,AED,Lenovo,Hardware,cash_withdrawal,success
TXN000049,CD0003,CO001,2023-11-11,65.95,AED,PwC,Professional Services,purchase,failed
TXN000050,CD0003,CO001,2023-12-07,449.44,AED,Careem,Travel,purchase,success
TXN000051,CD0003,CO001,2024-01-04,621.48,AED,Google Ads,Advertising,refund,success
TXN000052,CD0003,CO001,2024-01-12,142.48,AED,Virgin Megastore,Office Supplies,purchase,success
TXN000053,CD0003,CO001,2024-01-14,1451.09,AED,Uber,Travel,refund,success
TXN000054,CD0003,CO001,2024-01-25,1918.06,AED,Nobu,Meals & Entertainment,refund,failed
TXN000055,CD0003,CO001,2024-03-02,95.79,AED,Snapchat Ads,Advertising,purchase,success
TXN000056,CD0003,CO001,2024-03-25,660.19,AED,PwC,Professional Services,purchase,success
TXN000057,CD0003,CO001,2024-04-11,440.94,AED,Salesforce,SaaS Subscription,purchase,success
TXN000058,CD0003,CO001,2024-06-05,3796.44,AED,Staples,Office Supplies,purchase,success
TXN000059,CD0004,CO001,2023-06-05,41.43,AED,Staples,Office Supplies,purchase,failed
TXN000060,CD0004,CO001,2023-06-22,1776.49,AED,Salesforce,SaaS Subscription,purchase,success
TXN000061,CD0004,CO001,2023-07-05,283.21,AED,Deliveroo,Meals & Entertainment,purchase,success
TXN000062,CD0004,CO001,2023-07-11,1653.92,AED,IKEA,Office Supplies,refund,success
TXN000063,CD0004,CO001,2023-08-10,161.87,AED,McKinsey,Professional Services,purchase,failed
TXN000064,CD0004,CO001,2023-08-19,185.43,AED,Etisalat,Utilities,purchase,success
TXN000065,CD0004,CO001,2023-08-27,53.06,AED,Emirates Airlines,Travel,purchase,success
TXN000066,CD0004,CO001,2023-09-05,482.54,AED,Marriott,Travel,purchase,success
TXN000067,CD0004,CO001,2023-10-01,210.74,AED,Google Ads,Advertising,purchase,success
TXN000068,CD0004,CO001,2023-10-12,1008.98,AED,DEWA,Utilities,purchase,success
TXN000069,CD0004,CO001,2023-11-25,78.2,AED,LinkedIn Ads,Advertising,purchase,success
TXN000070,CD0004,CO001,2023-12-23,1097.47,AED,Careem,Travel,purchase,success
TXN000071,CD0004,CO001,2024-01-10,174.0,AED,PwC,Professional Services,purchase,failed
TXN000072,CD0004,CO001,2024-01-12,124.93,AED,Nobu,Meals & Entertainment,purchase,success
TXN000073,CD0004,CO001,2024-01-18,47665.04,AED,Staples,Office Supplies,purchase,success
TXN000074,CD0004,CO001,2024-02-16,125.23,AED,Notion,SaaS Subscription,purchase,failed
TXN000075,CD0004,CO001,2024-03-26,1013.55,AED,Notion,SaaS Subscription,purchase,success
TXN000076,CD0004,CO001,2024-03-31,1313.91,AED,Jumbo Electronics,Hardware,refund,success
TXN000077,CD0004,CO001,2024-04-28,105.33,AED,TikTok Ads,Advertising,purchase,success
TXN000078,CD0004,CO001,2024-06-29,531.55,AED,Talabat,Meals & Entertainment,purchase,success
TXN000079,CD0005,CO001,2023-09-10,503.5,AED,Deliveroo,Meals & Entertainment,purchase,success
TXN000080,CD0005,CO001,2023-10-04,38.62,AED,Google Ads,Advertising,purchase,success
TXN000081,CD0005,CO001,2023-11-03,299.29,AED,Snapchat Ads,Advertising,purchase,success
TXN000082,CD0006,CO001,2023-07-09,2987.02,AED,Emirates Airlines,Travel,cash_withdrawal,failed
TXN000083,CD0006,CO001,2023-07-23,197.04,AED,Zoom,SaaS Subscription,purchase,success
TXN000084,CD0006,CO001,2023-08-02,89.87,AED,Virgin Megastore,Office Supplies,purchase,success
TXN000085,CD0006,CO001,2023-08-10,251.49,AED,Carrefour,Office Supplies,purchase,success
TXN000086,CD0006,CO001,2023-08-11,64.23,AED,TikTok Ads,Advertising,purchase,success
TXN000087,CD0006,CO001,2023-08-22,1623.41,AED,Google Ads,Advertising,refund,success
TXN000088,CD0006,CO001,2023-09-03,13.8,AED,Snapchat Ads,Advertising,purchase,failed
TXN000089,CD0006,CO001,2023-10-05,81.31,AED,Nobu,Meals & Entertainment,purchase,success
TXN000090,CD0006,CO001,2023-10-13,131.07,AED,Meta Ads,Advertising,purchase,success
TXN000091,CD0006,CO001,2023-10-27,190.91,AED,Staples,Office Supplies,purchase,success
TXN000092,CD0006,CO001,2023-11-19,686.65,AED,Nobu,Meals & Entertainment,purchase,failed
TXN000093,CD0006,CO001,2023-11-22,614.29,AED,Benya,Utilities,purchase,success
TXN000094,CD0006,CO001,2023-12-10,22988.16,AED,Salesforce,SaaS Subscription,purchase,success
TXN000095,CD0006,CO001,2023-12-19,27039.56,AED,Slack,SaaS Subscription,purchase,success
TXN000096,CD0006,CO001,2024-01-18,393.6,AED,TikTok Ads,Advertising,purchase,success
TXN000097,CD0006,CO001,2024-01-24,683.59,AED,Talabat,Meals & Entertainment,purchase,failed
TXN000098,CD0006,CO001,2024-01-31,61585.39,AED,Zomato,Meals & Entertainment,purchase,success
TXN000099,CD0006,CO001,2024-02-02,271.24,AED,Snapchat Ads,Advertising,purchase,failed
TXN000100,CD0006,CO001,2024-02-16,1877.58,AED,IKEA,Office Supplies,purchase,success
TXN000101,CD0006,CO001,2024-03-05,441.36,AED,Deliveroo,Meals & Entertainment,purchase,failed
TXN000102,CD0006,CO001,2024-03-15,535.82,AED,McKinsey,Professional Services,refund,failed
TXN000103,CD0006,CO001,2024-03-28,102.85,AED,Virgin Megastore,Office Supplies,purchase,failed
TXN000104,CD0006,CO001,2024-04-12,1412.61,AED,Staples,Office Supplies,purchase,failed
TXN000105,CD0006,CO001,2024-04-26,1148.82,AED,TikTok Ads,Advertising,purchase,success
TXN000106,CD0006,CO001,2024-04-28,1494.03,AED,Notion,SaaS Subscription,purchase,success
TXN000107,CD0006,CO001,2024-05-03,1333.76,AED,Benya,Utilities,purchase,success
TXN000108,CD0006,CO001,2024-05-18,616.88,AED,Salesforce,SaaS Subscription,purchase,success
TXN000109,CD0006,CO001,2024-06-18,79.41,AED,Benya,Utilities,purchase,failed
TXN000110,CD0006,CO001,2024-06-19,421.68,AED,du Telecom,Utilities,purchase,success
TXN000111,CD0007,CO001,2023-05-17,655.44,AED,HubSpot,SaaS Subscription,purchase,failed
TXN000112,CD0007,CO001,2023-07-04,413.68,AED,Snapchat Ads,Advertising,purchase,success
TXN000113,CD0007,CO001,2023-09-26,2720.16,AED,Virgin Megastore,Office Supplies,cash_withdrawal,success
TXN000114,CD0007,CO001,2023-11-19,129.94,AED,Meta Ads,Advertising,purchase,success
TXN000115,CD0007,CO001,2024-04-27,149.85,AED,TikTok Ads,Advertising,purchase,failed
TXN000116,CD0009,CO001,2023-07-06,162.26,AED,Apple Store,Hardware,purchase,failed
TXN000117,CD0009,CO001,2023-07-06,274.77,AED,Carrefour,Office Supplies,purchase,success
TXN000118,CD0009,CO001,2023-07-14,153.81,AED,Lenovo,Hardware,purchase,success
TXN000119,CD0009,CO001,2023-07-18,218.66,AED,Careem,Travel,refund,success
TXN000120,CD0009,CO001,2023-07-19,359.45,AED,KPMG,Professional Services,purchase,success
TXN000121,CD0009,CO001,2023-08-01,516.49,AED,LinkedIn Ads,Advertising,purchase,success
TXN000122,CD0009,CO001,2023-08-01,450.52,AED,Careem,Travel,purchase,success
TXN000123,CD0009,CO001,2023-08-03,211.69,AED,COYA,Meals & Entertainment,purchase,success
TXN000124,CD0009,CO001,2023-08-15,510.14,AED,Snapchat Ads,Advertising,purchase,success
TXN000125,CD0009,CO001,2023-09-01,671.85,AED,KPMG,Professional Services,refund,success
TXN000126,CD0009,CO001,2023-09-03,651.69,AED,IKEA,Office Supplies,purchase,success
TXN000127,CD0009,CO001,2023-10-17,1197.56,AED,Etihad Airways,Travel,purchase,success
TXN000128,CD0009,CO001,2023-10-23,859.48,AED,Benya,Utilities,purchase,success
TXN000129,CD0009,CO001,2023-10-30,728.24,AED,du Telecom,Utilities,purchase,success
TXN000130,CD0009,CO001,2023-11-30,87.07,AED,Snapchat Ads,Advertising,purchase,failed
TXN000131,CD0009,CO001,2023-12-22,544.13,AED,IKEA,Office Supplies,purchase,success
TXN000132,CD0009,CO001,2023-12-27,244.91,AED,Carrefour,Office Supplies,purchase,failed
TXN000133,CD0009,CO001,2023-12-27,95.72,AED,KPMG,Professional Services,purchase,success
TXN000134,CD0009,CO001,2024-01-11,258.14,AED,COYA,Meals & Entertainment,purchase,failed
TXN000135,CD0009,CO001,2024-02-16,270.54,AED,Cipriani,Meals & Entertainment,purchase,success
TXN000136,CD0009,CO001,2024-02-28,1593.9,AED,Zomato,Meals & Entertainment,purchase,success
TXN000137,CD0009,CO001,2024-03-06,1585.68,AED,Notion,SaaS Subscription,purchase,success
TXN000138,CD0009,CO001,2024-03-10,69.75,AED,Snapchat Ads,Advertising,purchase,success
TXN000139,CD0009,CO001,2024-03-14,572.11,AED,Chalhoub Group,Professional Services,purchase,success
TXN000140,CD0009,CO001,2024-03-29,1457.54,AED,Etisalat,Utilities,cash_withdrawal,success
TXN000141,CD0009,CO001,2024-04-11,97.33,AED,Carrefour,Office Supplies,purchase,success
TXN000142,CD0009,CO001,2024-05-23,418.82,AED,Jumbo Electronics,Hardware,purchase,success
TXN000143,CD0009,CO001,2024-05-27,184.29,AED,LinkedIn Ads,Advertising,purchase,failed
TXN000144,CD0010,CO001,2023-05-18,57.44,AED,Zomato,Meals & Entertainment,purchase,success
TXN000145,CD0010,CO001,2023-05-23,328.19,AED,Talabat,Meals & Entertainment,purchase,success
TXN000146,CD0010,CO001,2023-06-04,205.49,AED,Nobu,Meals & Entertainment,purchase,failed
TXN000147,CD0010,CO001,2023-06-17,157.14,AED,Lenovo,Hardware,purchase,success
TXN000148,CD0010,CO001,2023-07-07,1644.07,AED,du Telecom,Utilities,refund,success
TXN000149,CD0010,CO001,2023-07-14,62.22,AED,Etihad Airways,Travel,purchase,success
TXN000150,CD0010,CO001,2023-07-19,124.89,AED,TikTok Ads,Advertising,refund,success
TXN000151,CD0010,CO001,2023-07-19,353.59,AED,Snapchat Ads,Advertising,purchase,success
TXN000152,CD0010,CO001,2023-07-21,75.2,AED,LinkedIn Ads,Advertising,purchase,success
TXN000153,CD0010,CO001,2023-07-21,193.66,AED,Uber,Travel,purchase,success
TXN000154,CD0010,CO001,2023-08-24,877.1,AED,Etihad Airways,Travel,purchase,success
TXN000155,CD0010,CO001,2023-08-26,961.92,AED,TikTok Ads,Advertising,purchase,success
TXN000156,CD0010,CO001,2023-10-25,212.54,AED,COYA,Meals & Entertainment,purchase,success
TXN000157,CD0010,CO001,2023-11-10,8.27,AED,Apple Store,Hardware,purchase,failed
TXN000158,CD0010,CO001,2023-11-29,622.59,AED,Microsoft 365,SaaS Subscription,refund,success
TXN000159,CD0010,CO001,2023-12-23,561.58,AED,Talabat,Meals & Entertainment,purchase,success
TXN000160,CD0010,CO001,2023-12-27,756.72,AED,LinkedIn Ads,Advertising,refund,failed
TXN000161,CD0010,CO001,2024-01-05,552.2,AED,du Telecom,Utilities,purchase,success
TXN000162,CD0010,CO001,2024-01-10,31.98,AED,Staples,Office Supplies,purchase,success
TXN000163,CD0010,CO001,2024-01-20,2389.52,AED,Marriott,Travel,cash_withdrawal,failed
TXN000164,CD0010,CO001,2024-01-23,688.45,AED,Benya,Utilities,purchase,success
TXN000165,CD0010,CO001,2024-02-18,884.67,AED,Etisalat,Utilities,purchase,success
TXN000166,CD0010,CO001,2024-02-22,1159.35,AED,Snapchat Ads,Advertising,purchase,success
TXN000167,CD0010,CO001,2024-03-27,33.83,AED,IKEA,Office Supplies,purchase,failed
TXN000168,CD0010,CO001,2024-04-27,2111.77,AED,KPMG,Professional Services,purchase,success
TXN000169,CD0010,CO001,2024-05-25,154.74,AED,Deliveroo,Meals & Entertainment,purchase,failed
TXN000170,CD0010,CO001,2024-06-07,359.85,AED,Deloitte,Professional Services,purchase,failed
TXN000171,CD0010,CO001,2024-06-19,212.31,AED,LinkedIn Ads,Advertising,purchase,success
TXN000172,CD0010,CO001,2024-06-22,32.25,AED,Dell,Hardware,purchase,success
TXN000173,CD0011,CO001,2023-06-10,67272.64,AED,Slack,SaaS Subscription,purchase,success
TXN000174,CD0011,CO001,2023-06-13,198.48,AED,Zoom,SaaS Subscription,purchase,success
TXN000175,CD0011,CO001,2023-08-22,101.36,AED,Etisalat,Utilities,purchase,success
TXN000176,CD0011,CO001,2023-09-03,184.62,AED,Deloitte,Professional Services,purchase,success
TXN000177,CD0011,CO001,2024-03-03,633.86,AED,Microsoft 365,SaaS Subscription,purchase,failed
TXN000178,CD0011,CO001,2024-05-19,228.53,AED,LinkedIn Ads,Advertising,purchase,success
TXN000179,CD0011,CO001,2024-05-26,163.4,AED,Rotana Hotels,Travel,purchase,success
TXN000180,CD0014,CO002,2023-04-16,295.33,AED,Sharaf DG,Hardware,purchase,success
TXN000181,CD0014,CO002,2023-06-20,103.56,AED,LinkedIn Ads,Advertising,purchase,success
TXN000182,CD0014,CO002,2023-06-22,22.81,AED,Sharaf DG,Hardware,purchase,failed
TXN000183,CD0014,CO002,2023-07-07,143.27,AED,Slack,SaaS Subscription,purchase,success
TXN000184,CD0014,CO002,2023-07-12,9.14,AED,Nobu,Meals & Entertainment,purchase,success
TXN000185,CD0014,CO002,2023-07-14,182.93,AED,Google Ads,Advertising,purchase,failed
TXN000186,CD0014,CO002,2023-07-17,384.79,AED,Emirates Airlines,Travel,purchase,success
TXN000187,CD0014,CO002,2023-08-03,725.1,AED,du Telecom,Utilities,purchase,failed
TXN000188,CD0014,CO002,2023-08-07,438.29,AED,Dell,Hardware,purchase,success
TXN000189,CD0014,CO002,2023-08-13,254.66,AED,TikTok Ads,Advertising,purchase,success
TXN000190,CD0014,CO002,2023-08-23,,AED,Sharaf DG,Hardware,purchase,failed
TXN000191,CD0014,CO002,2023-08-26,73.06,AED,Dell,Hardware,purchase,success
TXN000192,CD0014,CO002,2023-08-28,194.22,AED,Rotana Hotels,Travel,purchase,failed
TXN000193,CD0014,CO002,2023-09-12,94.49,AED,Uber,Travel,purchase,success
TXN000194,CD0014,CO002,2023-09-24,84.91,AED,Slack,SaaS Subscription,purchase,failed
TXN000195,CD0014,CO002,2023-09-27,257.01,AED,Virgin Megastore,Office Supplies,purchase,failed
TXN000196,CD0014,CO002,2023-12-11,95.88,AED,Salesforce,SaaS Subscription,purchase,success
TXN000197,CD0014,CO002,2023-12-16,33.17,AED,Chalhoub Group,Professional Services,purchase,success
TXN000198,CD0014,CO002,2024-01-13,2970.27,AED,Rotana Hotels,Travel,cash_withdrawal,success
TXN000199,CD0014,CO002,2024-01-31,1104.29,AED,du Telecom,Utilities,purchase,failed
TXN000200,CD0014,CO002,2024-02-10,153.53,AED,Marriott,Travel,purchase,success
TXN000201,CD0014,CO002,2024-02-19,1300.01,AED,LinkedIn Ads,Advertising,purchase,success
TXN000202,CD0014,CO002,2024-03-08,619.33,AED,Careem,Travel,purchase,success
TXN000203,CD0014,CO002,2024-03-27,161.07,AED,Etihad Airways,Travel,purchase,success
TXN000204,CD0014,CO002,2024-05-27,692.31,AED,Carrefour,Office Supplies,purchase,success
TXN000205,CD0014,CO002,2024-05-31,710.1,AED,KPMG,Professional Services,purchase,success
TXN000206,CD0014,CO002,2024-06-08,178.19,AED,Microsoft 365,SaaS Subscription,refund,success
TXN000207,CD0014,CO002,2024-06-16,1346.26,AED,Nobu,Meals & Entertainment,refund,success
TXN000208,CD0014,CO002,2024-06-20,1126.97,AED,Snapchat Ads,Advertising,purchase,success
TXN000209,CD0014,CO002,2024-06-26,182.44,AED,Benya,Utilities,purchase,failed
TXN000210,CD0015,CO002,2023-05-09,72046.64,AED,Chalhoub Group,Professional Services,purchase,failed
TXN000211,CD0015,CO002,2023-05-24,152.92,AED,Sharaf DG,Hardware,purchase,success
TXN000212,CD0015,CO002,2023-06-24,2869.74,AED,Apple Store,Hardware,cash_withdrawal,success
TXN000213,CD0015,CO002,2023-06-27,554.69,AED,Deloitte,Professional Services,purchase,success
TXN000214,CD0015,CO002,2023-07-12,213.54,AED,DEWA,Utilities,purchase,success
TXN000215,CD0015,CO002,2023-08-03,208.22,AED,Etihad Airways,Travel,purchase,failed
TXN000216,CD0015,CO002,2023-08-12,118.08,AED,IKEA,Office Supplies,purchase,success
TXN000217,CD0015,CO002,2023-08-23,1350.57,AED,du Telecom,Utilities,cash_withdrawal,failed
TXN000218,CD0015,CO002,2023-10-12,227.18,AED,Snapchat Ads,Advertising,purchase,success
TXN000219,CD0015,CO002,2023-10-24,1197.85,AED,IKEA,Office Supplies,purchase,success
TXN000220,CD0015,CO002,2023-10-27,364.51,AED,Etisalat,Utilities,purchase,failed
TXN000221,CD0015,CO002,2023-11-10,990.08,AED,Virgin Megastore,Office Supplies,purchase,success
TXN000222,CD0015,CO002,2023-12-01,276.49,AED,COYA,Meals & Entertainment,purchase,success
TXN000223,CD0015,CO002,2023-12-09,673.86,AED,PwC,Professional Services,purchase,success
TXN000224,CD0015,CO002,2023-12-18,567.58,AED,Staples,Office Supplies,purchase,success
TXN000225,CD0015,CO002,2023-12-23,452.08,AED,Sharaf DG,Hardware,purchase,success
TXN000226,CD0015,CO002,2024-01-04,36.1,AED,IKEA,Office Supplies,purchase,failed
TXN000227,CD0015,CO002,2024-02-27,304.77,AED,Zomato,Meals & Entertainment,purchase,success
TXN000228,CD0015,CO002,2024-04-05,2594.16,AED,IKEA,Office Supplies,cash_withdrawal,success
TXN000229,CD0015,CO002,2024-04-24,1093.19,AED,Cipriani,Meals & Entertainment,purchase,success
TXN000230,CD0015,CO002,2024-04-30,38.83,AED,Apple Store,Hardware,purchase,success
TXN000231,CD0016,CO002,2023-05-14,252.22,AED,IKEA,Office Supplies,purchase,success
TXN000232,CD0016,CO002,2023-05-18,267.43,AED,Benya,Utilities,refund,failed
TXN000233,CD0016,CO002,2023-05-19,521.88,AED,IKEA,Office Supplies,purchase,success
TXN000234,CD0016,CO002,2023-06-17,51.68,AED,HubSpot,SaaS Subscription,purchase,success
TXN000235,CD0016,CO002,2023-07-18,1489.12,AED,Microsoft 365,SaaS Subscription,cash_withdrawal,failed
TXN000236,CD0016,CO002,2023-07-20,111.48,AED,Virgin Megastore,Office Supplies,purchase,success
TXN000237,CD0016,CO002,2023-09-07,1137.24,AED,Snapchat Ads,Advertising,purchase,success
TXN000238,CD0016,CO002,2023-09-08,110.02,AED,Virgin Megastore,Office Supplies,purchase,failed
TXN000239,CD0016,CO002,2023-10-24,818.15,AED,Apple Store,Hardware,purchase,failed
TXN000240,CD0016,CO002,2023-11-05,194.78,AED,Slack,SaaS Subscription,purchase,success
TXN000241,CD0016,CO002,2023-11-20,798.38,AED,McKinsey,Professional Services,purchase,success
TXN000242,CD0016,CO002,2023-11-24,1295.21,AED,Snapchat Ads,Advertising,purchase,success
TXN000243,CD0016,CO002,2023-12-21,664.66,AED,Careem,Travel,cash_withdrawal,success
TXN000244,CD0016,CO002,2023-12-22,107.62,AED,Slack,SaaS Subscription,purchase,success
TXN000245,CD0016,CO002,2024-01-31,183.97,AED,du Telecom,Utilities,purchase,success
TXN000246,CD0016,CO002,2024-02-04,27.75,AED,Talabat,Meals & Entertainment,purchase,success
TXN000247,CD0016,CO002,2024-04-08,722.71,AED,McKinsey,Professional Services,purchase,success
TXN000248,CD0016,CO002,2024-04-30,800.96,AED,Cipriani,Meals & Entertainment,purchase,success
TXN000249,CD0016,CO002,2024-05-16,165.17,AED,Talabat,Meals & Entertainment,purchase,failed
TXN000250,CD0016,CO002,2024-05-17,20829.91,AED,Zoom,SaaS Subscription,purchase,success
TXN000251,CD0016,CO002,2024-06-10,323.92,AED,Deloitte,Professional Services,purchase,failed
TXN000252,CD0016,CO002,2024-06-16,176.81,AED,Zomato,Meals & Entertainment,purchase,failed
TXN000253,CD0016,CO002,2024-06-17,100.84,AED,Snapchat Ads,Advertising,purchase,failed
TXN000254,CD0016,CO002,2024-06-23,133.03,AED,TikTok Ads,Advertising,purchase,success
TXN000255,CD0018,CO002,2023-06-04,1572.8,AED,Cipriani,Meals & Entertainment,purchase,success
TXN000256,CD0018,CO002,2023-06-26,2571.11,AED,Deloitte,Professional Services,cash_withdrawal,success
TXN000257,CD0018,CO002,2023-07-14,184.47,AED,Talabat,Meals & Entertainment,purchase,success
TXN000258,CD0018,CO002,2023-07-28,32.05,AED,Talabat,Meals & Entertainment,purchase,success
TXN000259,CD0018,CO002,2023-08-04,300.19,AED,Nobu,Meals & Entertainment,purchase,success
TXN000260,CD0018,CO002,2023-08-06,453.63,AED,Benya,Utilities,purchase,success
TXN000261,CD0018,CO002,2023-08-27,220.78,AED,,Meals & Entertainment,purchase,success
TXN000262,CD0018,CO002,2023-08-29,144.39,AED,COYA,Meals & Entertainment,purchase,success
TXN000263,CD0018,CO002,2023-09-10,945.22,AED,Careem,Travel,purchase,success
TXN000264,CD0018,CO002,2023-09-13,118.22,AED,Etisalat,Utilities,purchase,success
TXN000265,CD0018,CO002,2023-09-16,1664.96,AED,KPMG,Professional Services,purchase,success
TXN000266,CD0018,CO002,2023-09-19,2381.6,AED,PwC,Professional Services,cash_withdrawal,success
TXN000267,CD0018,CO002,2023-10-16,119.82,AED,Microsoft 365,SaaS Subscription,purchase,success
TXN000268,CD0018,CO002,2023-10-23,40.49,AED,Salesforce,SaaS Subscription,purchase,success
TXN000269,CD0018,CO002,2023-11-16,76.55,AED,Sharaf DG,Hardware,purchase,success
TXN000270,CD0018,CO002,2023-11-27,365.88,AED,Lenovo,Hardware,purchase,success
TXN000271,CD0018,CO002,2023-12-21,648.97,AED,Carrefour,Office Supplies,purchase,success
TXN000272,CD0018,CO002,2024-01-07,2961.61,AED,Carrefour,Office Supplies,cash_withdrawal,success
TXN000273,CD0018,CO002,2024-01-08,58321.88,AED,Google Ads,Advertising,purchase,success
TXN000274,CD0018,CO002,2024-01-23,977.73,AED,Uber,Travel,purchase,success
TXN000275,CD0018,CO002,2024-01-27,1741.95,AED,PwC,Professional Services,purchase,success
TXN000276,CD0018,CO002,2024-02-06,361.76,AED,Salesforce,SaaS Subscription,purchase,success
TXN000277,CD0018,CO002,2024-02-18,278.39,AED,Apple Store,Hardware,purchase,success
TXN000278,CD0018,CO002,2024-02-21,507.99,AED,Zoom,SaaS Subscription,cash_withdrawal,success
TXN000279,CD0018,CO002,2024-03-08,169.91,AED,Microsoft 365,SaaS Subscription,purchase,success
TXN000280,CD0018,CO002,2024-03-20,541.48,AED,LinkedIn Ads,Advertising,purchase,success
TXN000281,CD0018,CO002,2024-04-07,4432.13,AED,Careem,Travel,purchase,success
TXN000282,CD0018,CO002,2024-04-23,978.86,AED,Uber,Travel,purchase,success
TXN000283,CD0018,CO002,2024-04-24,2856.63,AED,Zoom,SaaS Subscription,purchase,failed
TXN000284,CD0018,CO002,2024-05-23,881.78,AED,Salesforce,SaaS Subscription,purchase,success
TXN000285,CD0018,CO002,2024-06-25,67.17,AED,Etihad Airways,Travel,purchase,success
TXN000286,CD0018,CO002,2024-06-26,185.02,AED,Emirates Airlines,Travel,purchase,failed
TXN000287,CD0020,CO002,2023-05-18,547.21,AED,DEWA,Utilities,purchase,success
TXN000288,CD0020,CO002,2023-06-02,89.48,AED,COYA,Meals & Entertainment,purchase,success
